SampleCode,DatePreparedforMetabolomics,SpeciesName,OakType,State,LeafType,LeafLife,FileName
QAU-1L,2019-10-10,Q. austrina,White,FL,Living,Deciduous,Tfaily_QAU-1L-M_15Nov19_Gimli_Zorbax-1190_neg.mzXML
QGE-2L,2019-10-10,Q. geminata,White,FL,Living,Brevideciduous,Tfaily_QGE-2L-M_15Nov19_Gimli_Zorbax-1190_neg.mzXML
QHE-16L,2019-10-10,Q. hemisphaerica,Red,FL,Living,Brevideciduous,Tfaily_QHE-16L-M_15Nov19_Gimli_Zorbax-1190_neg.mzXML
QLE-17L,2019-10-10,Q. laevis,Red,FL,Living,Deciduous,Tfaily_QLE-17L-M_15Nov19_Gimli_Zorbax-1190_neg.mzXML
QLA-3L,2019-10-10,Q. laurifolia,Red,FL,Living,Brevideciduous,Tfaily_QLA-3L-M_15Nov19_Gimli_Zorbax-1190_neg.mzXML
QMI-5L,2019-10-10,Q. michauxii,White,FL,Living,Deciduous,Tfaily_QMI-5L-M_15Nov19_Gimli_Zorbax-1190_neg.mzXML
QNI-7L,2019-10-10,Q. nigra,Red,FL,Living,Deciduous,Tfaily_QNI-7L-M_15Nov19_Gimli_Zorbax-1190_neg.mzXML
QNI-8L,2019-10-10,Q. nigra,Red,FL,Living,Deciduous,Tfaily_QNI-8L-M_15Nov19_Gimli_Zorbax-1190_neg.mzXML
QVI-11L,2019-10-10,Q. virginiana,White,FL,Living,Brevideciduous,Tfaily_QVI-11L-M_15Nov19_Gimli_Zorbax-1190_neg.mzXML
QIN-27L,2019-10-10,Q. incana,Red,FL,Living,Deciduous,Tfaily_QIN-27L-M_15Nov19_Gimli_Zorbax-1190_neg.mzXML
QIN-28L,2019-10-10,Q. incana,Red,FL,Living,Deciduous,Tfaily_QIN-28L-M_15Nov19_Gimli_Zorbax-1190_neg.mzXML
